sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60298.83,19600.0,27698.332,5026.2607,20.765465,87200.0,0.012980423,True
5,60896.484,18800.0,26194.996,5078.782,62.26719,120000.0,0.012980423,True
10,61642.5,17800.0,24459.316,5144.434,114.55285,120000.0,0.020953981,True
15,62387.03,16800.0,23094.59,5210.086,171.95526,120000.0,0.02494202,True
20,63131.367,15800.0,21829.863,5275.738,239.54837,120000.0,0.02494202,True
25,63876.094,14800.0,20565.137,5341.3896,322.83148,120000.0,0.012980423,True
30,64623.164,13800.0,19425.398,5407.0415,412.44244,120000.0,0.012980423,True
35,65368.83,12800.0,18410.672,5472.6934,500.13168,120000.0,0.020953981,True
40,66113.32,11800.0,17520.916,5538.345,591.771,120000.0,0.02494202,True
45,66857.85,10800.0,16829.23,5603.997,691.3822,120000.0,0.02494202,True
50,67603.01,9800.0,16339.431,5669.649,806.0046,120000.0,0.012980423,True
55,68349.88,8800.0,16074.611,5735.301,920.9064,120000.0,0.012980423,True
60,69095.04,7800.0,15809.792,5800.9526,1032.6873,120000.0,0.020953981,True
65,69839.57,6800.0,15544.973,5866.6045,1148.1721,120000.0,0.02494202,True
70,70583.71,5800.0,15280.153,5932.2563,1269.8365,120000.0,0.02494202,True
75,71329.73,4800.0,15015.334,5997.908,1405.9677,120000.0,0.012980423,True
80,72076.29,3800.0,14750.515,6063.56,1537.4851,120000.0,0.012980423,True
85,72821.29,2800.0,14485.695,6129.212,1665.765,120000.0,0.02494202,True
90,73565.82,1800.0,14389.179,6194.864,1797.638,120000.0,0.02494202,True
95,74309.57,800.0,14383.319,6260.5156,1935.7754,120000.0,0.03291641,True
100,74906.445,0.0,14377.46,6326.1675,2085.3044,120000.0,0.012980423,True
105,74902.695,0.0,14371.601,6391.8193,2227.7896,120000.0,0.020953981,True
110,74897.54,0.0,14365.741,6457.471,2367.453,120000.0,0.02494202,True
115,74892.07,0.0,14359.882,6523.123,2510.697,120000.0,0.02494202,True
120,74886.29,0.0,14354.022,6588.775,2661.938,120000.0,0.03291641,True
125,74883.164,0.0,14348.163,6654.427,2818.8555,120000.0,0.012980423,True
130,74879.1,0.0,14342.304,6720.0786,2968.5452,120000.0,0.020953981,True
135,74873.79,0.0,14336.444,6785.7305,3116.2136,120000.0,0.02494202,True
140,74868.32,0.0,14330.585,6851.3823,3267.4216,120000.0,0.02494202,True
145,74863.01,0.0,14324.726,6917.034,3428.1157,120000.0,0.012980423,True
150,74859.88,0.0,14318.866,6982.686,3589.553,120000.0,0.012980423,True
155,74855.51,0.0,14313.007,7048.338,3743.9395,120000.0,0.020953981,True
160,74850.04,0.0,14307.147,7113.9897,3897.395,120000.0,0.02494202,True
165,74844.57,0.0,14301.288,7179.6416,4054.2383,120000.0,0.02494202,True
170,74839.73,0.0,14295.429,7245.2935,4221.744,120000.0,0.012980423,True
175,74836.6,0.0,14289.569,7310.9453,4385.7485,120000.0,0.012980423,True
180,74831.76,0.0,14283.71,7376.597,4543.1675,120000.0,0.020953981,True
185,74826.29,0.0,14277.851,7442.249,4700.973,120000.0,0.02494202,True
190,74820.43,0.0,14271.991,7507.901,4861.851,120000.0,0.02494202,True
195,74816.445,0.0,14266.132,7573.5527,5000.0,120000.0,0.012980423,True
200,74813.01,0.0,14260.272,7639.2046,5000.0,120000.0,0.012980423,True
205,74808.01,0.0,14254.413,7704.8564,5000.0,120000.0,0.02494202,True
210,74802.54,0.0,14248.554,7770.5083,5000.0,120000.0,0.02494202,True
215,74796.29,0.0,14242.694,7836.16,5000.0,120000.0,0.03291641,True
220,74793.164,0.0,14236.835,7901.812,5000.0,120000.0,0.012980423,True
225,74789.414,0.0,14230.976,7967.464,5000.0,120000.0,0.020953981,True
230,74784.26,0.0,14225.116,8033.1157,5000.0,120000.0,0.02494202,True
235,74778.79,0.0,14219.257,8098.7676,5000.0,120000.0,0.02494202,True
240,74773.01,0.0,14213.085,8164.4194,5000.0,120000.0,0.03291641,True
245,74769.88,0.0,14205.073,8230.072,5000.0,120000.0,0.012980423,True
250,74765.82,0.0,14195.316,8295.727,5000.0,120000.0,0.020953981,True
255,74760.51,0.0,14184.232,8361.381,5000.0,120000.0,0.02494202,True
260,74755.04,0.0,14171.936,8427.035,5000.0,120000.0,0.02494202,True
265,74749.73,0.0,14158.347,8492.689,5000.0,120000.0,0.012980423,True
270,74746.6,0.0,14143.141,8558.344,5000.0,120000.0,0.012980423,True
275,74742.23,0.0,14126.762,8623.998,5000.0,120000.0,0.020953981,True
280,74736.76,0.0,14109.665,8689.652,5000.0,120000.0,0.02494202,True
285,74731.29,0.0,14091.964,8755.307,5000.0,120000.0,0.02494202,True
290,74726.26,0.0,14070.8955,8834.092,5000.0,120000.0,0.009086297,False
