sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.414,19600.0,27701.652,5026.2607,20.76717,87200.0,0.0,True
5,60898.242,18800.0,26204.957,5078.782,62.242718,115600.0,0.0,True
10,61646.25,17800.0,24464.076,5144.434,114.209236,115600.0,0.0,True
15,62393.516,16800.0,23109.105,5210.086,168.64136,115600.0,0.0,True
20,63140.684,15800.0,21854.135,5275.738,228.07751,115600.0,0.0,True
25,63888.047,14800.0,20599.164,5341.3896,295.25928,115600.0,0.0,True
30,64636.582,13800.0,19469.176,5407.0415,365.4196,115600.0,0.0,True
35,65384.414,12800.0,18464.195,5472.6934,434.34738,115600.0,0.0,True
40,66131.66,11800.0,17584.135,5538.345,504.99615,115600.0,0.0,True
45,66878.92,10800.0,16899.246,5603.997,579.4197,115600.0,0.0,True
50,67626.5,9800.0,16418.4,5669.649,661.22894,115600.0,0.0,True
55,68374.94,8800.0,16163.071,5735.301,743.1204,115600.0,0.0,True
60,69122.516,7800.0,15908.043,5800.9526,823.48395,115600.0,0.0,True
65,69869.78,6800.0,15653.028,5866.6045,905.776,115600.0,0.0,True
70,70616.85,5800.0,15398.014,5932.2563,991.24084,115600.0,0.0,True
75,71364.86,4800.0,15142.999,5997.908,1084.0559,115600.0,0.0,True
80,72113.14,3800.0,14887.984,6063.56,1174.579,115600.0,0.0,True
85,72860.64,2800.0,14632.97,6129.212,1263.5045,115600.0,0.0,True
90,73607.91,1800.0,14402.727,6194.864,1354.2827,115600.0,0.0,True
95,74354.78,800.0,14397.712,6260.5156,1448.2607,115600.0,0.0,True
100,74953.22,0.0,14392.697,6326.1675,1548.0238,115600.0,0.0,True
105,74951.34,0.0,14387.683,6391.8193,1644.2412,115600.0,0.0,True
110,74948.766,0.0,14382.668,6457.471,1739.0515,115600.0,0.0,True
115,74946.03,0.0,14377.653,6523.123,1835.6957,115600.0,0.0,True
120,74943.14,0.0,14372.639,6588.775,1936.4071,115600.0,0.0,True
125,74941.58,0.0,14367.624,6654.427,2040.001,115600.0,0.0,True
130,74939.55,0.0,14362.609,6720.0786,2139.939,115600.0,0.0,True
135,74936.89,0.0,14357.595,6785.7305,2238.8633,115600.0,0.0,True
140,74934.16,0.0,14352.58,6851.3823,2339.5933,115600.0,0.0,True
145,74931.5,0.0,14347.565,6917.034,2445.141,115600.0,0.0,True
150,74929.94,0.0,14342.551,6982.686,2551.0625,115600.0,0.0,True
155,74927.75,0.0,14337.536,7048.338,2653.4065,115600.0,0.0,True
160,74925.016,0.0,14332.521,7113.9897,2755.2837,115600.0,0.0,True
165,74922.28,0.0,14327.507,7179.6416,2858.8853,115600.0,0.0,True
170,74919.86,0.0,14322.492,7245.2935,2967.9011,115600.0,0.0,True
175,74918.3,0.0,14317.478,7310.9453,3075.13,115600.0,0.0,True
180,74915.875,0.0,14312.463,7376.597,3179.0115,115600.0,0.0,True
185,74913.14,0.0,14307.448,7442.249,3283.092,115600.0,0.0,True
190,74910.21,0.0,14302.434,7507.901,3388.735,115600.0,0.0,True
195,74908.22,0.0,14297.419,7573.5527,3500.211,115600.0,0.0,True
200,74906.5,0.0,14292.404,7639.2046,3608.055,115600.0,0.0,True
205,74904.0,0.0,14287.39,7704.8564,3713.0525,115600.0,0.0,True
210,74901.266,0.0,14282.375,7770.5083,3818.7227,115600.0,0.0,True
215,74898.14,0.0,14277.36,7836.16,3926.4915,115600.0,0.0,True
220,74896.58,0.0,14272.346,7901.812,4039.012,115600.0,0.0,True
225,74894.7,0.0,14267.331,7967.464,4147.083,115600.0,0.0,True
230,74892.125,0.0,14262.316,8033.1157,4252.8955,115600.0,0.0,True
235,74889.39,0.0,14257.302,8098.7676,4359.734,115600.0,0.0,True
240,74886.5,0.0,14252.287,8164.4194,4469.88,115600.0,0.0,True
245,74884.94,0.0,14247.272,8230.073,4582.211,115600.0,0.0,True
250,74882.91,0.0,14242.258,8295.728,4690.2725,115600.0,0.0,True
255,74880.25,0.0,14237.243,8361.382,4796.7373,115600.0,0.0,True
260,74877.516,0.0,14232.229,8427.036,4904.4526,115600.0,0.0,True
265,74874.86,0.0,14227.214,8492.69,5000.0,115600.0,0.0,True
270,74873.3,0.0,14222.199,8558.345,5000.0,115600.0,0.0,True
275,74871.11,0.0,14217.185,8623.999,5000.0,115600.0,0.0,True
280,74868.375,0.0,14212.17,8689.653,5000.0,115600.0,0.0,True
285,74865.64,0.0,14207.155,8755.308,5000.0,115600.0,0.0,True
290,74863.22,0.0,14202.141,8820.962,5000.0,115600.0,0.0,True
295,74861.66,0.0,14197.126,8886.616,5000.0,115600.0,0.0,True
300,74859.234,0.0,14192.111,8952.2705,5000.0,115600.0,0.0,True
