sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.125,19600.0,27699.996,5026.2607,20.768932,87199.95,0.0,True
5,60897.375,18800.0,26257.13,5078.782,62.262375,103599.98,0.0,True
10,61644.39,17800.0,24699.977,5144.434,114.40097,103599.98,0.0,True
15,62390.297,16800.0,23552.824,5210.086,170.3404,103599.98,0.0,True
20,63136.06,15800.0,22404.602,5275.738,233.89114,103599.98,0.0,True
25,63882.11,14800.0,21356.367,5341.3896,309.17728,103599.98,0.0,True
30,64629.92,13800.0,20493.854,5407.0415,389.1196,103599.98,0.0,True
35,65376.67,12800.0,19818.477,5472.6934,467.49338,103599.98,0.0,True
40,66122.55,11800.0,19396.225,5538.345,548.794,103599.98,0.0,True
45,66868.445,10800.0,19247.918,5603.997,636.10077,103599.98,0.0,True
50,67614.82,9800.0,19242.547,5669.649,734.7147,103599.98,0.0,True
55,68362.48,8800.0,19237.176,5735.301,833.54266,103599.98,0.0,True
60,69108.84,7800.0,19231.805,5800.9526,930.02466,103599.98,0.0,True
65,69854.74,6800.0,19226.434,5866.6045,1029.302,103599.98,0.0,True
70,70600.35,5800.0,19221.062,5932.2563,1133.2391,103599.98,0.0,True
75,71347.37,4800.0,19215.691,5997.908,1248.0803,103599.98,0.0,True
80,72094.79,3800.0,19210.32,6063.56,1359.4408,103599.98,0.0,True
85,72841.04,2800.0,19204.95,6129.212,1468.36,103599.98,0.0,True
90,73586.94,1800.0,19199.578,6194.864,1579.989,103599.98,0.0,True
95,74332.26,800.0,19194.207,6260.5156,1696.3419,103599.98,0.0,True
100,74929.914,0.0,19188.836,6326.1675,1821.2827,103599.98,0.0,True
105,74927.1,0.0,19183.465,6391.8193,1940.9014,103599.98,0.0,True
110,74923.234,0.0,19178.094,6457.471,2058.3867,103599.98,0.0,True
115,74919.13,0.0,19172.723,6523.123,2178.5718,103599.98,0.0,True
120,74914.805,0.0,19167.352,6588.775,2304.7893,103599.98,0.0,True
125,74912.46,0.0,19161.98,6654.427,2435.2817,103599.98,0.0,True
130,74909.414,0.0,19156.61,6720.0786,2560.307,103599.98,0.0,True
135,74905.43,0.0,19151.238,6785.7305,2683.8005,103599.98,0.0,True
140,74901.33,0.0,19145.867,6851.3823,2809.9626,103599.98,0.0,True
145,74897.35,0.0,19140.496,6917.034,2943.2844,103599.98,0.0,True
150,74895.01,0.0,19135.125,6982.686,3077.1545,103599.98,0.0,True
155,74891.73,0.0,19129.754,7048.338,3205.6868,103599.98,0.0,True
160,74887.625,0.0,19124.383,7113.9897,3333.5107,103599.98,0.0,True
165,74883.52,0.0,19119.012,7179.6416,3463.8894,103599.98,0.0,True
170,74879.9,0.0,19113.64,7245.2935,3602.3198,103599.98,0.0,True
175,74877.555,0.0,19108.27,7310.9453,3738.0894,103599.98,0.0,True
180,74873.92,0.0,19102.898,7376.597,3868.872,103599.98,0.0,True
185,74869.82,0.0,19097.527,7442.249,3999.9426,103599.98,0.0,True
190,74865.43,0.0,19092.156,7507.901,4133.331,103599.98,0.0,True
