sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.125,19600.0,27699.992,5026.2607,20.767872,87200.0,0.009727974,True
5,60897.375,18800.0,26199.977,5078.782,62.261284,103700.0,0.009727974,True
10,61644.39,17800.0,24463.197,5144.434,114.39927,103700.0,0.015705664,True
15,62390.297,16800.0,23107.826,5210.086,170.33661,103700.0,0.018695436,True
20,63136.06,15800.0,21852.455,5275.738,233.88216,103700.0,0.018695436,True
25,63882.11,14800.0,20597.084,5341.3896,309.15778,103700.0,0.009727974,True
30,64629.92,13800.0,19466.701,5407.0415,389.0839,103700.0,0.009727974,True
35,65376.67,12800.0,18461.33,5472.6934,467.43863,103700.0,0.015705664,True
40,66122.55,11800.0,17580.92,5538.345,548.7207,103700.0,0.018695436,True
45,66868.445,10800.0,16897.95,5603.997,636.0102,103700.0,0.018695436,True
50,67614.82,9800.0,16417.5,5669.649,734.60815,103700.0,0.009727974,True
55,68362.48,8800.0,16162.074,5735.301,833.42126,103700.0,0.009727974,True
60,69108.84,7800.0,15906.635,5800.9526,929.8896,103700.0,0.015705664,True
65,69854.74,6800.0,15651.195,5866.6045,1029.1543,103700.0,0.018695436,True
70,70600.35,5800.0,15395.756,5932.2563,1133.0798,103700.0,0.018695436,True
75,71347.37,4800.0,15140.316,5997.908,1247.91,103700.0,0.009727974,True
80,72094.79,3800.0,14884.877,6063.56,1359.2604,103700.0,0.009727974,True
85,72841.04,2800.0,14629.4375,6129.212,1468.1702,103700.0,0.018695436,True
90,73586.94,1800.0,14398.92,6194.864,1579.7904,103700.0,0.018695436,True
95,74332.26,800.0,14393.48,6260.5156,1696.1354,103700.0,0.024673628,True
100,74929.914,0.0,14388.041,6326.1675,1821.0686,103700.0,0.009727974,True
105,74927.1,0.0,14382.602,6391.8193,1940.6804,103700.0,0.015705664,True
110,74923.234,0.0,14377.162,6457.471,2058.1592,103700.0,0.018695436,True
115,74919.13,0.0,14371.723,6523.123,2178.3386,103700.0,0.018695436,True
120,74914.805,0.0,14366.283,6588.775,2304.5505,103700.0,0.024673628,True
125,74912.46,0.0,14360.844,6654.427,2435.0378,103700.0,0.009727974,True
130,74909.414,0.0,14355.404,6720.0786,2560.058,103700.0,0.015705664,True
135,74905.43,0.0,14349.965,6785.7305,2683.5474,103700.0,0.018695436,True
140,74901.33,0.0,14344.525,6851.3823,2809.7058,103700.0,0.018695436,True
145,74897.35,0.0,14339.086,6917.034,2943.024,103700.0,0.009727974,True
150,74895.01,0.0,14333.646,6982.686,3076.8901,103700.0,0.009727974,True
155,74891.73,0.0,14328.207,7048.338,3205.4187,103700.0,0.015705664,True
160,74887.625,0.0,14322.768,7113.9897,3333.239,103700.0,0.018695436,True
165,74883.52,0.0,14317.328,7179.6416,3463.615,103700.0,0.018695436,True
170,74879.9,0.0,14311.889,7245.2935,3602.043,103700.0,0.009727974,True
175,74877.555,0.0,14306.449,7310.9453,3737.81,103700.0,0.009727974,True
180,74873.92,0.0,14301.01,7376.597,3868.5906,103700.0,0.015705664,True
185,74869.82,0.0,14295.57,7442.249,3999.659,103700.0,0.018695436,True
190,74865.43,0.0,14290.131,7507.901,4133.0454,103700.0,0.018695436,True
195,74862.445,0.0,14284.691,7573.5527,4275.1074,103700.0,0.009727974,True
200,74859.87,0.0,14279.252,7639.2046,4411.7695,103700.0,0.009727974,True
205,74856.12,0.0,14273.8125,7704.8564,4544.1953,103700.0,0.018695436,True
210,74852.016,0.0,14268.373,7770.5083,4677.6157,103700.0,0.018695436,True
215,74847.336,0.0,14262.934,7836.16,4814.1533,103700.0,0.024673628,True
220,74844.99,0.0,14257.494,7901.812,4957.7603,103700.0,0.009727974,True
225,74842.18,0.0,14252.055,7967.464,5000.0,103700.0,0.015705664,True
230,74838.31,0.0,14246.615,8033.1157,5000.0,103700.0,0.018695436,True
235,74834.21,0.0,14241.176,8098.7676,5000.0,103700.0,0.018695436,True
240,74829.88,0.0,14235.736,8164.4194,5000.0,103700.0,0.024673628,True
245,74827.54,0.0,14230.297,8230.072,5000.0,103700.0,0.009727974,True
250,74824.49,0.0,14224.857,8295.727,5000.0,103700.0,0.015705664,True
255,74820.51,0.0,14219.418,8361.381,5000.0,103700.0,0.018695436,True
260,74816.41,0.0,14213.979,8427.035,5000.0,103700.0,0.018695436,True
265,74812.43,0.0,14208.539,8492.689,5000.0,103700.0,0.009727974,True
270,74810.086,0.0,14203.1,8558.344,5000.0,103700.0,0.009727974,True
275,74806.805,0.0,14197.66,8623.998,5000.0,103700.0,0.015705664,True
280,74802.7,0.0,14192.221,8689.652,5000.0,103700.0,0.018695436,True
285,74798.6,0.0,14186.781,8755.307,5000.0,103700.0,0.018695436,True
290,74794.98,0.0,14181.342,8820.961,5000.0,103700.0,0.009727974,True
295,74792.63,0.0,14175.902,8886.615,5000.0,103700.0,0.009727974,True
300,74789.0,0.0,14170.463,8952.27,5000.0,103700.0,0.015705664,True
305,74784.9,0.0,14165.023,9017.924,5000.0,103700.0,0.018695436,True
310,74780.51,0.0,14159.584,9083.578,5000.0,103700.0,0.018695436,True
315,74777.52,0.0,14154.145,9149.232,5000.0,103700.0,0.009727974,True
320,74774.945,0.0,14148.705,9214.887,5000.0,103700.0,0.009727974,True
325,74771.195,0.0,14143.266,9280.541,5000.0,103700.0,0.018695436,True
330,74767.09,0.0,14137.826,9346.195,5000.0,103700.0,0.018695436,True
335,74762.414,0.0,14132.387,9411.85,5000.0,103700.0,0.024673628,True
340,74760.07,0.0,14126.947,9477.504,5000.0,103700.0,0.009727974,True
345,74757.26,0.0,14121.508,9543.158,5000.0,103700.0,0.015705664,True
350,74753.39,0.0,14116.068,9608.8125,5000.0,103700.0,0.018695436,True
355,74749.29,0.0,14110.629,9674.467,5000.0,103700.0,0.018695436,True
360,74744.96,0.0,14105.189,9740.121,5000.0,103700.0,0.024673628,True
365,74742.62,0.0,14099.75,9805.775,5000.0,103700.0,0.009727974,True
370,74739.055,0.0,14093.291,9884.561,5000.0,103700.0,0.013610266,False
