sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.125,19600.0,27699.992,5026.2607,20.774569,87200.0,0.009727974,True
5,60897.375,18800.0,26199.977,5078.782,62.278683,104900.0,0.009727974,True
10,61644.39,17800.0,24462.291,5144.434,114.797386,104900.0,0.015705664,True
15,62390.297,16800.0,23100.201,5210.086,172.1774,104900.0,0.018695436,True
20,63136.06,15800.0,21838.111,5275.738,237.26097,104900.0,0.018695436,True
25,63882.11,14800.0,20576.021,5341.3896,315.1831,104900.0,0.009727974,True
30,64629.92,13800.0,19438.92,5407.0415,394.66827,104900.0,0.009727974,True
35,65376.67,12800.0,18426.83,5472.6934,473.09283,104900.0,0.015705664,True
40,66122.516,11800.0,17540.533,5515.215,555.60144,106400.0,0.018695436,True
45,66868.414,10800.0,16854.945,5465.215,644.0239,106400.0,0.018695436,True
50,67614.79,9800.0,16371.945,5415.215,744.5314,106400.0,0.009727974,True
55,68362.445,8800.0,16113.952,5365.215,842.5982,106400.0,0.009727974,True
60,69108.81,7800.0,15855.959,5315.215,939.19165,106400.0,0.015705664,True
65,69854.71,6800.0,15597.966,5265.215,1039.4071,106400.0,0.018695436,True
70,70600.32,5800.0,15339.973,5215.215,1145.1954,106400.0,0.018695436,True
75,71347.336,4800.0,15081.9795,5165.215,1260.3652,106400.0,0.009727974,True
80,72094.76,3800.0,14823.986,5115.215,1370.9098,106400.0,0.009727974,True
85,72841.01,2800.0,14565.993,5065.215,1479.9763,106400.0,0.018695436,True
90,73586.91,1800.0,14439.098,5015.215,1592.3617,106400.0,0.018695436,True
95,74332.23,800.0,14437.823,4965.215,1711.3599,106400.0,0.024673628,True
100,74929.88,0.0,14436.549,4915.215,1835.1648,106400.0,0.009727974,True
105,74927.07,0.0,14435.274,4865.215,1953.9746,106400.0,0.015705664,True
110,74923.2,0.0,14434.0,4815.215,2071.6995,106400.0,0.018695436,True
115,74919.1,0.0,14432.726,4765.215,2192.516,106400.0,0.018695436,True
120,74914.77,0.0,14431.451,4715.215,2320.892,106400.0,0.024673628,True
125,74912.43,0.0,14430.177,4665.215,2450.1729,106400.0,0.009727974,True
130,74909.38,0.0,14428.902,4615.215,2574.437,106400.0,0.015705664,True
135,74905.4,0.0,14427.628,4565.215,2698.299,106400.0,0.018695436,True
140,74901.3,0.0,14426.354,4515.215,2825.0059,106400.0,0.018695436,True
145,74897.32,0.0,14425.079,4465.215,2960.0417,106400.0,0.009727974,True
150,74894.98,0.0,14423.805,4415.215,3092.6558,106400.0,0.009727974,True
155,74891.695,0.0,14422.53,4365.215,3220.5012,106400.0,0.015705664,True
160,74887.59,0.0,14421.256,4315.215,3348.8457,106400.0,0.018695436,True
165,74883.49,0.0,14419.981,4265.215,3479.7078,106400.0,0.018695436,True
170,74879.87,0.0,14418.707,4215.215,3619.4392,106400.0,0.009727974,True
175,74877.52,0.0,14417.433,4165.215,3753.9292,106400.0,0.009727974,True
180,74873.89,0.0,14416.158,4115.215,3884.3318,106400.0,0.015705664,True
185,74869.79,0.0,14414.884,4065.2148,4015.8757,106400.0,0.018695436,True
190,74865.4,0.0,14413.609,4015.2148,4150.6763,106400.0,0.018695436,True
195,74862.414,0.0,14412.335,3965.2148,4292.6797,106400.0,0.009727974,True
200,74859.836,0.0,14411.061,3915.2148,4428.1763,106400.0,0.009727974,True
205,74856.086,0.0,14409.786,3865.2148,4560.414,106400.0,0.018695436,True
210,74851.984,0.0,14408.512,3815.2148,4694.2754,106400.0,0.018695436,True
215,74847.305,0.0,14407.237,3765.2148,4833.1504,106400.0,0.024673628,True
220,74844.96,0.0,14405.963,3715.2148,4975.3687,106400.0,0.009727974,True
225,74842.15,0.0,14404.688,3665.2148,5000.0,106400.0,0.015705664,True
230,74838.28,0.0,14403.414,3615.2148,5000.0,106400.0,0.018695436,True
235,74834.18,0.0,14402.14,3565.2148,5000.0,106400.0,0.018695436,True
240,74829.85,0.0,14400.865,3515.2148,5000.0,106400.0,0.024673628,True
245,74827.51,0.0,14399.591,3465.2148,5000.0,106400.0,0.009727974,True
250,74824.46,0.0,14398.316,3415.2148,5000.0,106400.0,0.015705664,True
255,74820.48,0.0,14397.042,3365.2148,5000.0,106400.0,0.018695436,True
260,74816.375,0.0,14395.768,3315.2148,5000.0,106400.0,0.018695436,True
265,74812.4,0.0,14394.493,3265.2148,5000.0,106400.0,0.009727974,True
270,74810.055,0.0,14393.219,3215.2148,5000.0,106400.0,0.009727974,True
275,74806.77,0.0,14391.944,3165.2148,5000.0,106400.0,0.015705664,True
280,74802.67,0.0,14390.67,3115.2148,5000.0,106400.0,0.018695436,True
285,74798.57,0.0,14389.3955,3065.2148,5000.0,106400.0,0.018695436,True
290,74794.945,0.0,14388.121,3015.2148,5000.0,106400.0,0.009727974,True
295,74792.6,0.0,14386.847,2965.2148,5000.0,106400.0,0.009727974,True
300,74788.97,0.0,14385.572,2915.2148,5000.0,106400.0,0.015705664,True
305,74784.87,0.0,14384.298,2865.2148,5000.0,106400.0,0.018695436,True
310,74780.48,0.0,14383.023,2815.2148,5000.0,106400.0,0.018695436,True
315,74777.49,0.0,14381.749,2765.2148,5000.0,106400.0,0.009727974,True
320,74774.914,0.0,14380.475,2715.2148,5000.0,106400.0,0.009727974,True
325,74771.164,0.0,14379.2,2665.2148,5000.0,106400.0,0.018695436,True
330,74767.06,0.0,14377.926,2615.2148,5000.0,106400.0,0.018695436,True
335,74762.38,0.0,14376.651,2565.2148,5000.0,106400.0,0.024673628,True
340,74760.04,0.0,14375.377,2515.2148,5000.0,106400.0,0.009727974,True
345,74757.23,0.0,14374.103,2465.2148,5000.0,106400.0,0.015705664,True
350,74753.36,0.0,14372.828,2415.2148,5000.0,106400.0,0.018695436,True
355,74749.26,0.0,14371.554,2365.2148,5000.0,106400.0,0.018695436,True
360,74744.93,0.0,14370.279,2315.2148,5000.0,106400.0,0.024673628,True
365,74742.586,0.0,14369.005,2265.2148,5000.0,106400.0,0.009727974,True
370,74739.12,0.0,14367.878,2205.2148,5000.0,106400.0,0.013610266,False
