sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.125,19600.0,27699.992,5026.2607,20.768929,47200.0,0.0,True
5,60897.375,18800.0,26199.977,5078.782,62.262264,61600.0,0.0,True
10,61644.39,17800.0,24463.197,5144.434,114.400154,65100.0,0.0,True
15,62390.297,16800.0,23101.107,5210.086,170.33736,65100.0,0.0,True
20,63136.06,15800.0,21839.018,5275.738,233.88275,65100.0,0.0,True
25,63882.11,14800.0,20576.928,5341.3896,309.1582,65100.0,0.0,True
30,64629.92,13800.0,19439.826,5407.0415,389.08417,65100.0,0.0,True
35,65376.67,12800.0,18427.736,5472.6934,467.43878,65100.0,0.0,True
40,66122.516,11800.0,17540.607,5538.345,548.7208,65100.0,0.0,True
45,66868.414,10800.0,16850.918,5603.997,636.0103,65100.0,0.0,True
50,67614.79,9800.0,16363.751,5669.649,734.6083,65100.0,0.0,True
55,68362.445,8800.0,16101.593,5735.301,833.4214,65100.0,0.0,True
60,69108.81,7800.0,15839.435,5800.9526,929.8896,65100.0,0.0,True
65,69854.71,6800.0,15577.276,5866.6045,1029.1542,65100.0,0.0,True
70,70600.32,5800.0,15315.118,5932.2563,1133.0797,65100.0,0.0,True
75,71347.336,4800.0,15052.96,5997.908,1247.9099,65100.0,0.0,True
80,72094.76,3800.0,14790.802,6063.56,1359.2603,65100.0,0.0,True
85,72841.01,2800.0,14528.644,6129.212,1468.17,65100.0,0.0,True
90,73586.91,1800.0,14398.93,6194.864,1579.7903,65100.0,0.0,True
95,74332.23,800.0,14393.49,6260.5156,1696.1353,65100.0,0.0,True
100,74929.88,0.0,14388.051,6326.1675,1821.0686,65100.0,0.0,True
105,74927.07,0.0,14382.611,6391.8193,1940.6804,65100.0,0.0,True
110,74923.2,0.0,14377.172,6457.471,2058.1592,65100.0,0.0,True
115,74919.1,0.0,14371.732,6523.123,2178.3386,65100.0,0.0,True
120,74914.77,0.0,14366.293,6588.775,2304.5505,65100.0,0.0,True
125,74912.43,0.0,14360.854,6654.427,2435.0378,65100.0,0.0,True
130,74909.38,0.0,14355.414,6720.0786,2560.058,65100.0,0.0,True
135,74905.4,0.0,14349.975,6785.7305,2683.5474,65100.0,0.0,True
140,74901.3,0.0,14344.535,6851.3823,2809.7058,65100.0,0.0,True
145,74897.32,0.0,14339.096,6917.034,2943.024,65100.0,0.0,True
150,74894.98,0.0,14333.656,6982.686,3076.8901,65100.0,0.0,True
155,74891.695,0.0,14328.217,7048.338,3205.4187,65100.0,0.0,True
160,74887.59,0.0,14322.777,7113.9897,3333.239,65100.0,0.0,True
165,74883.49,0.0,14317.338,7179.6416,3463.615,65100.0,0.0,True
170,74879.87,0.0,14311.898,7245.2935,3602.043,65100.0,0.0,True
175,74877.52,0.0,14306.459,7310.9453,3737.81,65100.0,0.0,True
180,74873.89,0.0,14301.02,7376.597,3868.5906,65100.0,0.0,True
185,74869.79,0.0,14295.58,7442.249,3999.659,65100.0,0.0,True
190,74865.4,0.0,14290.141,7507.901,4133.0454,65100.0,0.0,True
195,74862.414,0.0,14284.701,7573.5527,4275.1074,65100.0,0.0,True
200,74859.836,0.0,14279.262,7639.2046,4411.7695,65100.0,0.0,True
205,74856.086,0.0,14273.822,7704.8564,4544.1953,65100.0,0.0,True
210,74851.984,0.0,14268.383,7770.5083,4677.6157,65100.0,0.0,True
215,74847.305,0.0,14262.943,7836.16,4814.1533,65100.0,0.0,True
220,74844.96,0.0,14257.504,7901.812,4957.7603,65100.0,0.0,True
225,74842.15,0.0,14252.064,7967.464,5000.0,65100.0,0.0,True
230,74838.28,0.0,14246.625,8033.1157,5000.0,65100.0,0.0,True
235,74834.18,0.0,14241.186,8098.7676,5000.0,65100.0,0.0,True
240,74829.85,0.0,14235.746,8164.4194,5000.0,65100.0,0.0,True
245,74827.51,0.0,14230.307,8230.073,5000.0,65100.0,0.0,True
250,74824.46,0.0,14224.867,8295.728,5000.0,65100.0,0.0,True
255,74820.48,0.0,14219.428,8361.382,5000.0,65100.0,0.0,True
260,74816.375,0.0,14213.988,8427.036,5000.0,65100.0,0.0,True
265,74812.4,0.0,14208.549,8492.69,5000.0,65100.0,0.0,True
270,74810.055,0.0,14203.109,8558.345,5000.0,65100.0,0.0,True
275,74806.77,0.0,14197.67,8623.999,5000.0,65100.0,0.0,True
280,74802.67,0.0,14192.23,8689.653,5000.0,65100.0,0.0,True
285,74798.57,0.0,14186.791,8755.308,5000.0,65100.0,0.0,True
290,74794.945,0.0,14181.352,8820.962,5000.0,65100.0,0.0,True
295,74792.6,0.0,14175.912,8886.616,5000.0,65100.0,0.0,True
300,74788.97,0.0,14170.473,8952.2705,5000.0,65100.0,0.0,True
305,74784.87,0.0,14165.033,9017.925,5000.0,65100.0,0.0,True
310,74780.48,0.0,14159.594,9083.579,5000.0,65100.0,0.0,True
315,74777.49,0.0,14154.154,9149.233,5000.0,65100.0,0.0,True
320,74774.914,0.0,14148.715,9214.888,5000.0,65100.0,0.0,True
325,74771.164,0.0,14143.275,9280.542,5000.0,65100.0,0.0,True
330,74767.06,0.0,14137.836,9346.196,5000.0,65100.0,0.0,True
335,74762.38,0.0,14132.396,9411.851,5000.0,65100.0,0.0,True
340,74760.04,0.0,14126.957,9477.505,5000.0,65100.0,0.0,True
345,74757.23,0.0,14121.518,9543.159,5000.0,65100.0,0.0,True
350,74753.36,0.0,14116.078,9608.813,5000.0,65100.0,0.0,True
355,74749.26,0.0,14110.639,9674.468,5000.0,65100.0,0.0,True
360,74744.93,0.0,14105.199,9740.122,5000.0,65100.0,0.0,True
365,74742.586,0.0,14099.76,9805.776,5000.0,65100.0,0.0,True
370,74739.54,0.0,14094.32,9871.431,5000.0,65100.0,0.0,True
375,74735.5,0.0,14088.031,9950.216,5000.0,65100.0,0.0,False
