sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
1,60299.125,19600.0,27699.992,5026.2607,20.774569,87200.0,0.0,True
5,60897.375,18800.0,26199.977,5078.782,62.278683,107800.0,0.0,True
10,61644.39,17800.0,24463.197,5144.434,114.79738,107800.0,0.0,True
15,62390.297,16800.0,23107.826,5210.086,172.17738,107800.0,0.0,True
20,63136.06,15800.0,21850.205,5275.738,237.26096,107800.0,0.0,True
25,63882.11,14800.0,20583.584,5341.3896,315.1831,107800.0,0.0,True
30,64629.92,13800.0,19441.951,5407.0415,394.66827,107800.0,0.0,True
35,65376.67,12800.0,18425.33,5472.6934,473.09283,107800.0,0.0,True
40,66122.516,11800.0,17533.668,5538.345,555.6015,107800.0,0.0,True
45,66868.414,10800.0,16839.379,5603.997,644.024,107800.0,0.0,True
50,67614.79,9800.0,16347.678,5669.649,744.53143,107800.0,0.0,True
55,68362.445,8800.0,16080.988,5735.301,842.59827,107800.0,0.0,True
60,69108.81,7800.0,15814.299,5800.9526,939.1917,107800.0,0.0,True
65,69854.71,6800.0,15547.609,5866.6045,1039.4072,107800.0,0.0,True
70,70600.32,5800.0,15280.92,5932.2563,1145.1954,107800.0,0.0,True
75,71347.336,4800.0,15014.23,5997.908,1260.3652,107800.0,0.0,True
80,72094.76,3800.0,14747.541,6063.56,1370.9098,107800.0,0.0,True
85,72841.01,2800.0,14480.852,6129.212,1479.9763,107800.0,0.0,True
90,73586.91,1800.0,14331.82,6194.864,1592.3617,107800.0,0.0,True
95,74332.23,800.0,14315.131,6260.5156,1711.3599,107800.0,0.0,True
100,74929.88,0.0,14298.441,6326.1675,1835.1648,107800.0,0.0,True
105,74927.07,0.0,14281.752,6391.8193,1953.9746,107800.0,0.0,True
110,74923.2,0.0,14265.0625,6457.471,2071.6995,107800.0,0.0,True
115,74919.1,0.0,14248.373,6523.123,2192.516,107800.0,0.0,True
120,74914.77,0.0,14231.684,6588.775,2320.892,107800.0,0.0,True
125,74912.43,0.0,14214.994,6654.427,2450.1729,107800.0,0.0,True
130,74909.38,0.0,14198.305,6720.0786,2574.437,107800.0,0.0,True
135,74905.4,0.0,14181.615,6785.7305,2698.299,107800.0,0.0,True
140,74901.3,0.0,14164.926,6851.3823,2825.0059,107800.0,0.0,True
145,74897.32,0.0,14148.236,6917.034,2960.0417,107800.0,0.0,True
150,74894.98,0.0,14131.547,6982.686,3092.6558,107800.0,0.0,True
155,74891.695,0.0,14114.857,7048.338,3220.5012,107800.0,0.0,True
160,74887.59,0.0,14098.168,7113.9897,3348.8457,107800.0,0.0,True
165,74883.49,0.0,14081.479,7179.6416,3479.7078,107800.0,0.0,True
170,74879.87,0.0,14064.789,7245.2935,3619.4392,107800.0,0.0,True
175,74877.52,0.0,14048.1,7310.9453,3753.9292,107800.0,0.0,True
180,74873.89,0.0,14031.41,7376.597,3884.3318,107800.0,0.0,True
185,74869.79,0.0,14014.721,7442.249,4015.8757,107800.0,0.0,True
190,74865.4,0.0,13998.031,7507.901,4150.6763,107800.0,0.0,True
195,74862.414,0.0,13981.342,7573.5527,4292.6797,107800.0,0.0,True
200,74859.836,0.0,13964.652,7639.2046,4428.1763,107800.0,0.0,True
205,74856.086,0.0,13947.963,7704.8564,4560.414,107800.0,0.0,True
210,74851.984,0.0,13931.273,7770.5083,4694.2754,107800.0,0.0,True
215,74847.305,0.0,13914.584,7836.16,4833.1504,107800.0,0.0,True
220,74844.96,0.0,13897.895,7901.812,4975.3687,107800.0,0.0,True
225,74842.15,0.0,13881.205,7967.464,5000.0,107800.0,0.0,True
230,74838.28,0.0,13864.516,8033.1157,5000.0,107800.0,0.0,True
235,74834.18,0.0,13847.826,8098.7676,5000.0,107800.0,0.0,True
240,74829.85,0.0,13831.137,8164.4194,5000.0,107800.0,0.0,True
245,74827.51,0.0,13814.447,8230.073,5000.0,107800.0,0.0,True
250,74824.46,0.0,13797.758,8295.728,5000.0,107800.0,0.0,True
255,74820.48,0.0,13781.068,8361.382,5000.0,107800.0,0.0,True
260,74816.375,0.0,13764.379,8427.036,5000.0,107800.0,0.0,True
265,74812.4,0.0,13747.689,8492.69,5000.0,107800.0,0.0,True
270,74810.055,0.0,13731.0,8558.345,5000.0,107800.0,0.0,True
275,74806.77,0.0,13714.311,8623.999,5000.0,107800.0,0.0,True
280,74802.67,0.0,13697.621,8689.653,5000.0,107800.0,0.0,True
285,74798.57,0.0,13680.932,8755.308,5000.0,107800.0,0.0,True
290,74794.945,0.0,13664.242,8820.962,5000.0,107800.0,0.0,True
295,74792.6,0.0,13647.553,8886.616,5000.0,107800.0,0.0,True
300,74788.97,0.0,13630.863,8952.2705,5000.0,107800.0,0.0,True
305,74784.87,0.0,13614.174,9017.925,5000.0,107800.0,0.0,True
310,74780.48,0.0,13597.484,9083.579,5000.0,107800.0,0.0,True
315,74777.49,0.0,13580.795,9149.233,5000.0,107800.0,0.0,True
320,74774.914,0.0,13564.105,9214.888,5000.0,107800.0,0.0,True
325,74771.164,0.0,13547.416,9280.542,5000.0,107800.0,0.0,True
330,74767.06,0.0,13530.727,9346.196,5000.0,107800.0,0.0,True
335,74762.38,0.0,13514.037,9411.851,5000.0,107800.0,0.0,True
340,74760.04,0.0,13497.348,9477.505,5000.0,107800.0,0.0,True
345,74757.23,0.0,13480.658,9543.159,5000.0,107800.0,0.0,True
350,74753.36,0.0,13463.969,9608.813,5000.0,107800.0,0.0,True
355,74749.26,0.0,13447.279,9674.468,5000.0,107800.0,0.0,True
360,74744.93,0.0,13430.59,9740.122,5000.0,107800.0,0.0,True
365,74742.586,0.0,13413.9,9805.776,5000.0,107800.0,0.0,True
370,74739.54,0.0,13397.211,9871.431,5000.0,107800.0,0.0,True
375,74735.23,0.0,13378.687,9950.216,5000.0,107800.0,0.0,False
